iter	Passed	Remaining
0	149	148961
1	152	76222
2	156	51957
3	159	39691
4	162	32427
5	166	27595
6	169	24110
7	173	21537
8	177	19530
9	180	17892
10	184	16581
11	187	15456
12	191	14547
13	195	13737
14	197	12963
15	199	12279
16	201	11666
17	203	11104
18	205	10596
19	206	10141
20	208	9717
21	209	9325
22	211	8969
23	212	8644
24	213	8339
25	215	8057
26	216	7800
27	217	7556
28	218	7327
29	219	7112
30	220	6906
31	221	6713
32	222	6532
33	223	6360
34	224	6202
35	225	6049
36	226	5901
37	227	5763
38	228	5630
39	229	5504
40	230	5387
41	231	5275
42	232	5166
43	232	5061
44	233	4959
45	234	4862
46	235	4770
47	236	4682
48	236	4598
49	237	4516
50	238	4440
51	239	4365
52	240	4294
53	241	4226
54	242	4160
55	243	4099
56	244	4038
57	244	3978
58	245	3920
59	246	3864
60	247	3813
61	248	3762
62	249	3711
63	250	3661
64	251	3612
65	251	3565
66	252	3518
67	253	3469
68	253	3426
69	254	3384
70	255	3343
71	256	3303
72	257	3265
73	257	3227
74	258	3190
75	259	3155
76	260	3120
77	261	3086
78	261	3053
79	262	3020
80	263	2988
81	264	2957
82	264	2927
83	265	2898
84	266	2866
85	267	2838
86	267	2807
87	268	2780
88	269	2754
89	269	2729
90	270	2704
91	271	2679
92	272	2655
93	273	2632
94	273	2608
95	274	2586
96	275	2564
97	276	2541
98	276	2520
99	277	2499
100	278	2479
101	278	2455
102	279	2435
103	280	2416
104	281	2396
105	281	2377
106	282	2358
107	283	2340
108	284	2323
109	285	2306
110	285	2288
111	286	2271
112	287	2254
113	288	2238
114	288	2222
115	289	2205
116	290	2190
117	291	2175
118	291	2158
119	292	2144
120	293	2129
121	293	2115
122	294	2098
123	295	2084
124	295	2070
125	296	2057
126	297	2044
127	297	2029
128	298	2016
129	299	2004
130	300	1991
131	301	1979
132	301	1967
133	302	1955
134	303	1943
135	304	1932
136	304	1921
137	305	1908
138	306	1897
139	307	1886
140	307	1875
141	308	1865
142	309	1854
143	310	1843
144	310	1833
145	311	1823
146	312	1813
147	313	1803
148	314	1793
149	314	1783
150	315	1774
151	316	1764
152	317	1755
153	317	1746
154	318	1737
155	319	1728
156	320	1719
157	320	1710
158	321	1701
159	322	1693
160	323	1684
161	324	1676
162	324	1667
163	325	1659
164	326	1651
165	327	1644
166	327	1636
167	328	1628
168	329	1620
169	330	1612
170	331	1605
171	331	1597
172	332	1590
173	333	1582
174	334	1575
175	334	1567
176	335	1560
177	336	1553
178	337	1546
179	337	1538
180	338	1530
181	338	1523
182	339	1517
183	340	1511
184	341	1505
185	342	1498
186	343	1492
187	343	1485
188	344	1479
189	345	1472
190	346	1466
191	347	1460
192	347	1454
193	348	1448
194	349	1442
195	350	1436
196	350	1430
197	351	1424
198	352	1418
199	353	1412
200	353	1407
201	354	1401
202	355	1395
203	356	1389
204	356	1384
205	357	1378
206	358	1373
